sentences,aos
but the staff was so horrible to us.,"[([2], [], -1)]"
"to be completely fair, the only redeeming factor was the food , which was above average, but couldn't make up for all the other deficiencies of teodora.","[([10], [], 1)]"
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[([1], [], 1), ([9], [], 1), ([24], [], 0)]"
"not only was the food outstanding, but the little ' perks ' were great.","[([4], [], 1), ([10], [], 1)]"
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats ).,"[([5, 6, 7, 8, 9], [], 1), ([12], [], 1), ([19], [], 0), ([28], [], 0)]"
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[([1], [], 1)]"
nevertheless the food itself is pretty good.,"[([2], [], 1)]"
"they did not have mayonnaise , forgot our toast , left out ingredients (ie cheese in an omelet ), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[([4], [], -1), ([8], [], -1), ([12], [], -1), ([14], [], 0), ([17], [], 0), ([24], [], -1), ([33], [], 0)]"
"it took half an hour to get our check , which was perfect since we could sit, have drinks and talk!","[([8], [], 0), ([18], [], 0)]"
the design and atmosphere is just as good.,"[([1], [], 1), ([3], [], 1)]"
he has visited thailand and is quite expert on the cuisine .,"[([10], [], 1)]"
the pizza is the best if you like thin crusted pizza .,"[([1], [], 1), ([8, 9, 10], [], 0)]"
"all the money went into the interior decoration , none of it went to the chefs .","[([6, 7], [], 1), ([15], [], -1)]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[([1], [], -1)]"
"i asked for seltzer with lime , no ice.","[([3, 4, 5], [], 0)]"
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods .","[([12], [], 1), ([15, 16, 17, 18, 19], [], 1)]"
my suggestion is to eat family style because you'll want to try the other dishes .,"[([4, 5, 6], [], 1), ([14], [], 0)]"
"best of all is the warm vibe , the owner is super friendly and service is fast.","[([6], [], 1), ([9], [], 1), ([14], [], 1)]"
faan's got a great concept but a little rough on the delivery .,"[([11], [], -1)]"
"from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot doesn't miss a beat.","[([3], [], 1), ([8], [], 1), ([13], [], 1)]"
"great food at reasonable prices , makes for an evening that can't be beat!","[([1], [], 1), ([4], [], 1)]"
this little place has a cute interior decor and affordable city prices .,"[([6, 7], [], 1), ([11], [], 1)]"
two words: free wine .,"[([3], [], 1)]"
the price is reasonable although the service is poor.,"[([1], [], 1), ([6], [], -1)]"
"the quantity is also very good, you will come out satisfied.","[([1], [], 1)]"
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[([22], [], 0), ([28, 29], [], 0)]"
the fried rice is amazing here.,"[([1, 2], [], 1)]"
"three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world.","[([1], [], 0), ([6], [], 1), ([8, 9, 10, 11], [], 1), ([13, 14, 15, 16, 17], [], 1), ([21, 22, 23, 24], [], 1)]"
it's a perfect place to have a amanzing indian food .,"[([8, 9], [], 1)]"
