sentences,aos
judging from previous posts this used to be a good place but not any longer.,"[([10], [], -1)]"
"we, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude.","[([17], [], -1)]"
the food was lousy - too sweet or too salty and the portions tiny.,"[([1], [], -1), ([12], [], -1)]"
avoid this place,"[([2], [], -1)]"
"i have eaten at saul, many times, the food is always consistently, outrageously good.","[([8], [], 1)]"
saul is the best restaurant on smith street and in brooklyn.,"[([0], [], 1)]"
the duck confit is always amazing and the foie gras terrine with figs was out of this world.,"[([8, 9, 10, 11, 12], [], 1), ([1, 2], [], 1)]"
the wine list is interesting and has many good values.,"[([1, 2], [], 1), ([1, 2], [], 1)]"
i was very disappointed with this restaurant,"[([6], [], -1)]"
ive asked a cart attendant for a lotus leaf wrapped rice and she replied back rice and just walked away.,"[([3, 4], [], -1)]"
"food was okay, nothing great.","[([0], [], 0)]"
chow fun was dry; pork shu mai was more than usually greasy and had to share a table with loud and rude family.,"[([0, 1], [], -1), ([4, 5, 6], [], -1)]"
i/we will never go back to this place again.,"[([7], [], -1)]"
"went on a 3 day oyster binge, with fish bringing up the closing, and i am so glad this was the place it o trip ended, because it was so great!","[([8], [], 1)]"
"service was devine, oysters where a sensual as they come, and the price can't be beat!!!","[([0], [], 1), ([3], [], 1)]"
every time in new york i make it a point to visit restaurant saul on smith street.,"[([12, 13], [], 1)]"
"everything is always cooked to perfection, the service is excellent, the decor cool and understated.","[([7], [], 1), ([11], [], 1)]"
i had the duck breast special on my last visit and it was incredible.,"[([3, 4, 5], [], 1)]"
"the food is very average...the thai fusion stuff is a bit too sweet, every thing they serve is too sweet here.","[([1], [], -1), ([5, 6, 7], [], -1)]"
the only thing i moderately enjoyed was their grilled chicken special with edamame puree,"[([8, 9, 10, 11, 12, 13], [], 1)]"
i had never had edamame pureed before but i thought it was innovative and tasty (could've used a bit more salt).,"[([4, 5], [], 1), ([4, 5], [], 1)]"
"the decor is night tho...but they really need to clean that vent in the ceiling...its quite un-appetizing, and kills your effort to make this place look sleek and modern.","[([24], [], -1), ([1], [], 1), ([11], [], -1)]"
"their sake list was extensive, but we were looking for purple haze, which wasn't listed but made for us upon request!","[([1, 2], [], 1)]"
"the spicy tuna roll was unusually good and the rock shrimp tempura was awesome, great appetizer to share!","[([1, 2, 3], [], 1), ([9, 10, 11], [], 1)]"
we went around 9:30 on a friday and it had died down a bit by then so the service was great!,"[([18], [], 1)]"
we love th pink pony,"[([3, 4], [], 1)]"
the perfect spot,"[([2], [], 1)]"
food awesome.,"[([0], [], 1)]"
service friendly and attentive.,"[([0], [], 1)]"
ambiance relaxed and stylish.,"[([0], [], 1)]"
"don't judge this place prima facie, you have to try it to believe it, a home away from home for the literate heart.","[([3], [], 1)]"
the food is decent.,"[([1], [], 0)]"
"however, it's the service that leaves a bad taste in my mouth.","[([3], [], -1)]"
"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.","[([20], [], -1)]"
this place has got to be the best japanese restaurant in the new york area.,"[([1], [], 1)]"
food is great.,"[([0], [], 1)]"
service is top notch.,"[([0], [], 1)]"
i tend to judge a sushi restaurant by its sea urchin which was heavenly at sushi rose.,"[([9, 10], [], 1)]"
the sushi seemed pretty fresh and was adequately proportioned.,"[([1], [], 1), ([1], [], 1)]"
the rice to fish ration was also good--they didn't try to overpack the rice.,"[([1, 2, 3, 4], [], 1)]"
we took advanatage of the half price sushi deal on saturday so it was well worth it.,"[([5, 6, 7, 8], [], 1)]"
"in the evening, this place attracted a well dressed, with it, ny crowd","[([12], [], 1)]"
the food was well prepared and the service impecable.,"[([1], [], 1), ([7], [], 1)]"
the prix fixe menu is worth every penny and you get more than enough (both in quantity and quality).,"[([1, 2, 3], [], 1), ([1, 2, 3], [], 1), ([1, 2, 3], [], 1)]"
$6 and there is much tasty food all of it fresh and continually refilled.,"[([6], [], 1), ([6], [], 1), ([6], [], 1)]"
"i am not a vegetarian but, almost all the dishes were great.","[([9], [], 1)]"
"the food here is rather good, but only if you like to wait for it.","[([1], [], 1)]"
i like the somosas c chai and the chole but the d dhosas nd dhal were kinda dissapointing.,"[([3], [], 1), ([5], [], 1), ([8], [], 1), ([12], [], -1), ([14], [], -1)]"
"the service varys from day to day- sometimes they're very nice, and sometimes not.","[([1], [], -1)]"
"the kitchen however, is almost always slow.","[([1], [], -1)]"
"also, specify if you like your food spicy- its rather bland if you don't.","[([6], [], -1)]"
"the ambience is pretty and nice for conversation, so a casual lunch here would probably be best.","[([1], [], 1)]"
if you've ever been along the river in weehawken you have an idea of the top of view the chart house has to offer.,"[([17], [], 1)]"
add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,"[([4], [], 1), ([7], [], 1), ([7], [], 1)]"
the lava cake dessert was incredible and i recommend it.,"[([1, 2, 3], [], 1)]"
"once you step into cosette you're miraculously in a small, off-the-beaten path parisian bistro.","[([4], [], 1)]"
"this tiny restaurant is as cozy as it gets, with that certain parisian flair.","[([2], [], 1)]"
"the food was average to above-average; the french onion soup filling yet not overly impressive, and the desserts not brilliant in any way.","[([1], [], 1), ([7, 8, 9], [], -1), ([7, 8, 9], [], 1), ([17], [], -1)]"
"however, go for the ambience and consider the f food ust a companion for a trip across the world!","[([4], [], 1), ([9], [], 0)]"
the pizza was delivered cold and the cheese wasn't even fully melted!,"[([1], [], -1), ([7], [], -1)]"
the pizza is overpriced and soggy.,"[([1], [], -1), ([1], [], -1)]"
"yes, they use fancy ingredients but even fancy ingredients don't make for good p pizza nless someone knows how to get the crust right.","[([4], [], 1), ([14], [], -1), ([22], [], -1)]"
i think i've had some the best meals of my life at minnow.,"[([7], [], 1)]"
"the seafood is amazing, there's a good wine list and the ever-changing m menu lways offers some great surprises.","[([1], [], 1), ([7, 8], [], 1), ([13], [], 1)]"
the combination of super-fresh ingredients in the dishes are unusual but really delicious.,"[([4], [], 1)]"
best pastrami i ever had and great portion without being ridiculous.,"[([1], [], 1), ([7], [], 1)]"
my wife had the fried shrimp which are huge and loved it.,"[([4, 5], [], 1), ([4, 5], [], 1)]"
"as a japanese native, i've lived in the tristate area for over 8 years, but i was just so amazed at this place","[([22], [], 1)]"
this place is the most japanese it can ever get.,"[([1], [], 1)]"
the signs the s specials menus food and even all the w waitstaff re all totally japanese.,"[([1], [], 1), ([4, 5], [], 1), ([6], [], 1), ([12], [], 1)]"
this place is worth an one-hour drive.,"[([1], [], 1)]"
"leon is an east village gem: casual but hip, with well prepared basic french bistro fare , good specials , a warm and livel atmosphere e.","[([0], [], 1), ([0], [], 1), ([18], [], 1), ([24], [], 1), ([13, 14, 15], [], 1)]"
"my wife and i always enjoy the young, not always well trained but nevertheless friendly, staff all of whom have a story.","[([15], [], 1)]"
decent wine at reasonable prices.,"[([1], [], 0), ([1], [], 1)]"
"everytime i decide to try another place on the ues, i get angry that i didn't just go to zucchero pomodori","[([19, 20], [], 1)]"
