sentences,labels
"I've been thinking about it before, but it's not a good place anymore.",[[11]]
The four of us arrived at noon - the place was empty - and the staff acted as if we were forcing them.,[[15]]
The food was bad - too sweet or too salty and the portions tiny.,"[[1], [12]]"
You should avoid this place.,[[4]]
"I've eaten at Saul's a lot, the food is always consistent, incredibly good.",[[7]]
Saul is the best restaurant in Smith Street and Brooklyn.,[[0]]
The duck crib is always fantastic and the foie gras land with figs was from this world.,"[[8, 9, 10, 11, 12], [1, 2]]"
The wine list is interesting and has many good grades.,"[[1, 2], [1, 2]]"
I was very disappointed in this restaurant.,[[6]]
I asked a car operator for a lotus leaf of rice and she answered for rice and just left.,"[[3, 4]]"
"The food was fine, nothing good.",[[1]]
The food was dry; pork was fatter than usual and had to sit at a table with a loud and rude family.,"[[0, 1], [4]]"
We're never coming back here.,[[4]]
"I was on a three-day oyster binge with fish that made the final cut, and I'm so glad that this is where the trip ended, because it was so great!",[[8]]
"Service was discovering oysters where a sensual like them come in, and the price can't be beat!!!","[[0], [3]]"
"Every time I'm in New York, I go to the Saul restaurant on Smith Street.","[[11, 9]]"
"Everything is perfectly cooked, the service is excellent, the decor is cool and subservient.","[[5], [9]]"
I had the Entebrust special last time and it was amazing.,"[[3, 4]]"
"The food is very average... the Thai fusion stuff is a little too sweet, everything they serve is too sweet here.","[[1], [6, 7, 8]]"
The only thing I enjoyed was her chicken-grilled special with Edamame puree .,"[[7, 7, 8, 9, 10, 11]]"
"I had never taken care of Edamame before, but I thought it would be innovative and delicious (I could have used a little more salt).","[[6, 5], [6, 5]]"
"The decor is night time, but you have to clean the ceiling ventilation, it's pretty unappetizing, and it kills your efforts to make this place look elegant and modern.","[[24], [1], [12]]"
"Your sake list was extensive, but we were looking for purple mist that wasn't listed, but was made on request for us!","[[1, 2]]"
"The spicy tuna scrolls were unusually good and the rock shrimp Tempura was fantastic, a great starter to share!","[[1, 2, 3], [9, 3, 11]]"
"We were there at 9:30 on Friday and it was already a little weaker, so the service was great!",[[16]]
We love the pink pony.,"[[3, 4]]"
The perfect place.,[[2]]
The food is great.,[[1]]
The ambience is relaxed and stylish.,[[1]]
"Don't judge this place at first glance, you have to try to believe it, a home away from home for the alphabetic heart.",[[3]]
The food is decent.,[[1]]
But it's the service that makes me taste bad.,[[3]]
"I have a policy that comes with a little self-esteem, which involves not being intimidated by a waiter, so I feel bad about asking for trivial things like water or checks.",[[17]]
The food is great.,[[1]]
The service is top notch.,[[1]]
"I tend to judge a sushi restaurant by its seafood, which was heavenly at Sushi Rose.","[[9, 9]]"
The sushi looked pretty fresh and was reasonably proportionate.,"[[1], [1]]"
The fish-rice ration was also good - they didn't try to overpack the rice.,"[[1, 1, 1, 2]]"
"We made a profit on the half-price sushi deal on Saturday, so it was worth it.","[[6, 6, 7, 8], [6, 6, 7, 8]]"
"In the evening, this place attracted a well-dressed crowd.",[[8]]
The food was well prepared and the service was impeccable.,"[[1], [7]]"
The price-fixed menu is worth every penny and you get more than enough (both in quantity and quality).,"[[1, 1, 2], [1, 1, 2], [1, 1, 2]]"
"Six bucks and there's plenty of delicious food, all fresh and refilled all the time.","[[7], [7], [7]]"
"I'm not a vegetarian, but almost all the dishes were great.",[[8]]
"The food here is pretty good, but only if you want to wait.",[[1]]
"I like the C-Chai and Chole cans, but the cans and Dahl were pretty disappointing.","[[3], [5], [6], [11]]"
"The service varies from day to day, sometimes they're very nice, sometimes they're not.",[[1]]
"The kitchen is almost always slow, though.",[[1]]
"Also, indicate whether you like your food spicy. It's more sloppy if you don't like it.",[[6]]
"The ambiance is nice and nice to talk about, so a casual lunch here would probably be the best.",[[1]]
"If you add that good service and good food to a reasonable price, you'll have a good evening.","[[5], [8], [8]]"
"The lavender cake dessert was incredible, and I recommend it.","[[1, 2, 3]]"
"Once you get into Cosette, you're in a wonderful little unconquered Paris bistro.",[[4]]
"This little restaurant is as cozy as it can be, with this Parisian flair.",[[2]]
"The food was average, the onion soup was not too impressive, and the desserts weren't so good.","[[1], [5, 5, 6], [5, 5, 6], [13]]"
But for the atmosphere and the F-food-ust as a companion on a world tour!,"[[3], [6]]"
The pizza was delivered cold and the cheese had not even melted completely!,"[[1], [7]]"
The pizza is too expensive and too wet.,"[[1], [1]]"
"Yeah, they use fancy ingredients, but fancy ingredients don't make a good pizza if someone doesn't know how to make the crust right.","[[4], [12], [21]]"
I had the best meals of my life in Minnow.,[[4]]
"The seafood is amazing, there's a good wine list, and Law's ever-changing M-menu offers some great surprises.","[[1], [7, 8], [12]]"
"The combination of super fresh ingredients in the dishes is unusual, but really delicious.",[[5]]
This is the best pastrami I've ever had and a great serving without being ridiculous.,"[[4], [11]]"
"My wife had the fried shrimp, they're huge, and they loved it.","[[4, 5], [4, 5]]"
"As a Japanese birthday girl, I've lived in the Tristate region for over eight years, but I was just so surprised by this place.",[[23]]
This is the most Japanese place you can ever get.,[[5]]
The special menu signs and even the entire waiting room are all Japanese.,"[[3], [1, 2], [9]]"
"Leon is a gem of the East Village: casual but hip, with a well-prepared base cost for French bistros, good specialities, warm and lively atmosphere.","[[0], [0], [20], [24], [17, 18, 15]]"
"My wife and I enjoy the young, not always well-educated, yet friendly staff, all of whom have a history.",[[12]]
decent wine at decent prices.,"[[1], [1]]"
"Every time I decide to try another store in the U.S., I get angry that I didn't just go to the Zucchero Pomodori.","[[21, 22]]"
This is my favorite place in the neighborhood.,[[4]]
"The service is excellent, the decor is great, and the food is delicious and comes in large portions","[[1], [5], [10], [17]]"
I'm part of the Gnocchi.,[[4]]
This place is incredibly small.,[[1]]
"The hostess is so rude, she's insulting.",[[1]]
The food was fat.,[[1]]
We've been here many times and we always have good food with wine and service.,"[[10], [12], [14]]"
"We were afraid we would have trouble getting in, but somehow we could wait a little.",[[13]]
"As usual, we had a great glass of wine while we waited.","[[6, 7, 8]]"
We had a quick service.,[[4]]
The people who work there are always so friendly that sometimes you can forget you're in New York.,[[1]]
This is a fun place.,[[4]]
The pizza is delicious and I like the atmosphere.,"[[1], [8]]"
But the pizza is too expensive.,[[2]]
A big one costs $20 and the tops are about $3.,[[6]]
I was late for lunch and it wasn't as good as I expected.,[[4]]
The sauce was water-rich and the food didn't taste very good.,"[[1], [6]]"
That's great.,[[0]]
The waitress was very patient with us and the food is phenomenal!,"[[1], [9]]"
"The service was quick, friendly and great.",[[1]]
Great pizza and great service .,"[[1], [4]]"
"It was a short wait, but shorter than I expected.",[[4]]
At the end of a beautiful block,[[6]]
This is the best sushi in New York City.,[[4]]
"It's small and tight, but the food is fantastic.",[[6]]
Get the tuna from Gari,"[[2, 3, 4]]"
"Thailand has always been a hit for me , I usually go there for sushi , which is great , and the Thai food is great too .","[[14], [22, 23], [0]]"
"With the variety on the menu , I often eat here and never get bored .",[[5]]
"The atmosphere isn 't the best , but they keep prices low .",[[1]]
It 's all about the food !,[[5]]
"First, it took us a long time to find the place.",[[10]]
"But if we look at the menu, there's not much of a choice, most of it is dumplings in the front-end area.",[[6]]
"The rolls were big, but not good, and the sashimi wasn't fresh.","[[1], [1], [9]]"
