sentences,labels
"According to previous posts, this was a good place, but not anymore.",[[8]]
The four of us arrived at noon -- the place was empty -- and the staff was acting like we were pushing them and they were so rude.,[[15]]
The food was bad. Too sweet or too epic and the part too small.,"[[1], [11]]"
Stay away from this place !,[[4]]
I've eaten in Seoul a few times. The food is always good.,[[8]]
Saul is the best restaurant on Smith Street in Brooklyn.,[[0]]
And Voye Gra Trine with figs was out of this world.,"[[3], [2, 4, 5]]"
The wine list is interesting and has many good values.,"[[1, 2]]"
I was very disappointed in this restaurant.,[[6]]
"I asked a carriage attendant for rice wrapped in lotus leaf, and she answered with rice, and she walked away.","[[3, 4]]"
"The food was fine, nothing great.",[[1]]
"The food was dry, the pork chow was fatter than usual, and I had to share a table with a noisy, dry family.","[[6, 1], [5, 4]]"
We're not going back to this place.,[[6]]
"I went to a vegetarian victim for three days, with the fish talking about the closure, and I'm so glad that's where her journey ended, because it was so wonderful!",[[11]]
"The service was great, the oysters were as sensual as it came, and the price couldn't win!!!","[[1], [5]]"
"Every time I'm in New York, I find it important to visit the Seoul on Smith Street.",[[12]]
"Everything is always perfectly cooked, excellent service, the decor is cold and worrying.","[[6], [8]]"
"I had a special duck breast on another visit, and it was amazing.","[[4, 5, 3]]"
"The food is so average... the Thai red food is so sweet, everything is so sweet.","[[1], [6, 7, 8]]"
The only thing I enjoyed moderately was the roast chicken special with Burry's Damen.,"[[8, 9, 10, 11, 12, 13]]"
"I've never eaten a constipation before, but I thought it was innovative and tasty.",[[4]]
"The night decor... but they need to clean this key in the ceiling... it's unpleasant, and it kills your efforts to make this place look delicate and necessary.","[[2], [9], [23]]"
"The Saki's list was extensive, but we were looking for purple fog that wasn't listed, but made for us on request.","[[1, 2]]"
"The tone of the Martian tuna was unusually good and the Tempura rock mustard was great, a great appetite to share!","[[4, 5, 1], [12, 13, 11]]"
We left around 9:30 on Friday and it had been a little low up until then so the service was great!,[[18]]
We love this pink horse.,"[[3, 4]]"
The perfect place .,[[2]]
- The food is delicious.,[[2]]
- The service is friendly and continuous .,[[2]]
Don't judge this place in particular. You should try to believe it. A home away from home for a learned heart.,[[3]]
The food is decent.,[[1]]
"However, it's the service that leaves a bad taste in my mouth.",[[3]]
"I have a policy that involves some self-respect, which includes not letting the utility scare me, which is making me feel bad when I ask for simple things like water or a check.",[[13]]
This place has to be the best Japanese restaurant in the New York area.,[[1]]
The food is delicious .,[[1]]
The service is first class.,[[1]]
"I tend to judge sushi restaurant by the sea, which was crazy in sushi rose.",[[8]]
The sushi looks so fresh and well-balanced.,[[1]]
The rice to fish was good too. They didn't try to drown the rice.,"[[1, 2, 3]]"
"We took advantage of the sushi deal half price on Saturday, so it was worth it.","[[7, 8, 5, 6]]"
"In the evening, this place attracts a well-dressed audience, however, New.",[[8]]
The food was well prepared and the service was clean.,"[[1], [7]]"
The Price Fix list is worth every click and gets more than enough.,"[[1, 2, 3]]"
"Six bucks and lots of delicious food, all fresh and packed all the time.",[[6]]
"I'm not a vegetarian, but almost all the dishes were great.",[[8]]
"The food here is very good, but only if you want to wait.",[[1]]
"I love the suns, tea, and coke, but the suns and the dolls were kind of disappointing.","[[3], [4], [6], [9], [12]]"
"The service varies from day to day. Sometimes it's very nice, sometimes it's not.",[[1]]
"However, the kitchen is almost always slow.",[[2]]
"Also, make it clear if you like your rebellious food, it's too involved if you're not.",[[9]]
"It 's a nice place to talk , so maybe a regular lunch here is better .",[[4]]
If you're along the river in Wee Hawken you have an idea of the viewhead that the house offers.,[[14]]
Plus that great service and great food at a reasonable price and you have yourself a great start to the evening.,"[[3], [6]]"
"The Lafa cake was amazing, and I recommend it.","[[1, 2, 1]]"
"Once you get into Cosette, you'll be a miracle at a little unusual Parisian restaurant.",[[4]]
"This little restaurant is as perfect as it gets, with that particular Parisian flavor.",[[2]]
"The food was average to above average, the stuffing of French onion soup was not impressive, and the candy was not great in any way.","[[1], [8, 11, 12], [18]]"
"Yet, go into the air, and consider food just a companion on a trip around the world!","[[4], [7]]"
The pizza was delivered cold and the cheese wasn't even completely melted!,"[[1], [7]]"
Pizza is too expensive and too wet.,[[0]]
"Yeah, they use great ingredients, but even the perfect ingredients don't make a pizza good unless someone knows how to get the right crust.","[[4], [13], [23]]"
I think I had the best meal of my life in Minato.,[[6]]
"The seafood is amazing, there's a good wine list, and the ever-changing list always offers some great surprises.","[[1], [7, 8], [12]]"
"The combination of fresh ingredients in the dishes is unusual, but it's really delicious.",[[4]]
My favorite Battery ever had a great meal without being silly.,"[[2], [7]]"
"My wife was eating a big, big, fried shark.","[[7, 3]]"
"As a Japanese friend, I lived in the Tristan area for over eight years, but I was so impressed with this place.",[[21]]
This is the most Japanese place he can get.,[[5]]
"Street, special menu, food, even all the staff are Japanese.","[[0], [1, 2], [3], [7]]"
This place is an hour away .,[[1]]
"Lyon is the jewel of an eastern village: random but modern , with a well-prepared basic French pastry , good private use , a warm and lively atmosphere .","[[0], [16], [17], [27]]"
"My wife and I always enjoy the young, not well trained, but still our friends, the staff,",[[16]]
The right wine at a reasonable price.,[[2]]
"Every time I decide to try somewhere else in the United States, I get angry because I didn't just go to Zucchero Pomodoro.","[[21, 22]]"
This is my favorite remote seating spot in the neighborhood.,[[4]]
"Excellent service, great decor, delicious food and served in large parts.","[[1], [3], [5], [10]]"
I like the juno.,[[3]]
This place is too small.,[[1]]
"The hostess is rude , even insulting .",[[1]]
The food was fake.,[[1]]
"We 've been here many times , and we always have great food , wine , and service .","[[12], [14], [17]]"
"We were worried we'd have trouble getting in, but somehow we were able to be short-lived.",[[15]]
"As we always did, we had a big glass of wine while we waited.","[[8, 9, 10]]"
"When we sat down, we got a great, fast service.",[[9]]
The people who work there are always so friendly. I forget you're in New York sometimes.,[[1]]
Make sure you try this place out as soon as possible.,[[5]]
This is a fun place to go.,[[4]]
Pizza is delicious and I love the atmosphere.,"[[0], [7]]"
But pizza is too expensive .,[[1]]
Big one's $20 and the supplements are about $3 each.,[[4]]
I went there for lunch and it wasn't as good as I expected from the reviews I read.,[[4]]
The sauce was watered and the food wasn't very tasty.,"[[1], [6]]"
This place is great.,[[1]]
The waitress was so patient with us and the food was delicious .,"[[1], [9]]"
"The service was quick, friendly, and wonderful.",[[1]]
Great pizza and great service.,"[[1], [4]]"
"There was a small wait, but shorter than I expected.",[[4]]
It's at the end of a beautiful block.,[[7]]
This is the best sushi in New York City - hands down.,[[4]]
"It's a small place, but the food is delicious.","[[3], [6]]"
"Bring the trana , Gary .","[[2, 3, 4]]"
"Thailand has always been my mainland . I usually go there for sushi , which is great . Thai food is great too .","[[0], [12], [18, 19]]"
