sentences,labels
But the staff was horrible for us.,[[2]]
"To be completely fair, the only redeeming factor was the food, which was above average, but it couldn't make up for all of Theodore's other deficiencies.",[[10]]
"The food is exceptional, with a very capable kitchen that will proudly prepare whatever you want to eat, whether on the menu or not.","[[1], [8], [21]]"
"Not only was the food excellent, but the little perks were great.","[[4], [9]]"
Our agreed favourite is the sausage and chicken orrechiete (generally the waiters are kind enough to split the dish in two so you can try both meats).,"[[8, 5, 6, 7], [11], [18], [26]]"
"Bagels have an exceptional flavor with an excellent texture, both chewed but not glue.",[[0]]
"However, the food itself is quite good.",[[2]]
"They didn't take mayonnaise, they forgot our toast, they left the ingredients (that is, cheese in a tortilla), under the hot temperatures and the bacon was so overcooked that it broke down on the plate when you touched it.","[[3], [7], [11], [14], [17], [24], [34]]"
"It took us half an hour to get our check, which was perfect since we could sit down, have drinks and talk!","[[9], [19]]"
The design and the environment are just as good.,"[[1], [4]]"
He 's been to Thailand and he 's an expert in cooking .,[[11]]
Pizza is the best if you like thin pizza .,"[[0], [7, 7, 8]]"
"All the money went to the interior decorations , nothing went to the chefs .","[[6, 7], [13]]"
The seats are uncomfortable if you're sitting against the wall on wooden benches.,[[1]]
"I ordered him a soda, no ice.","[[2, 4]]"
"Don't go alone... not even two people are enough for the whole experience, with spikes and a selection of meat and seafood.","[[14], [17, 18, 14, 20, 21]]"
My suggestion is to eat family-style because you 'll want to try the other dishes .,"[[4, 5, 5], [14]]"
"Best of all, the warm atmosphere, the owner is super friendly and the service is fast.","[[5], [7], [13]]"
"Fan has a great concept , but he 's a little tough on the delivery .",[[14]]
"From the amazing food, to the warm atmosphere, to the friendly service, this place in the downtown neighborhood keeps on going.","[[3], [7], [11]]"
"Great food at reasonable prices, makes it an unbeatable night!","[[1], [4]]"
This little place has a nice interior decoration and affordable prices in the city .,"[[6, 7], [10]]"
Two words: free wine .,[[3]]
The price is reasonable even though the service is poor.,"[[1], [7]]"
"The quantity is also very good, you will be satisfied.",[[1]]
"I found myself on this second floor of the street two Fridays ago when I was with two friends in the city of Los Angeles who were serious sushi lovers, we sat down at the sushi bar to be closer to the action.","[[28], [35, 36]]"
The fried rice is amazing here.,"[[1, 2]]"
"Three dishes: excellent musk, goat cheese and salad with delicious patterns and a hanger au poivre steak that is not of this world.","[[3], [4, 4, 5], [7, 8, 12, 9, 10], [13, 16, 14, 15]]"
It 's a perfect place to eat a nice Indian meal .,"[[9, 10]]"
The place is very cool and the service is quick and courteous.,"[[1], [7]]"
You end up with a soft broth with noodles that you can swallow from a cup.,"[[6, 7, 8]]"
I wonder how you can eat so deliciously for so little money .,[[11]]
The food was delicious but don't come here on an empty stomach.,[[1]]
The wine list is excellent.,"[[1, 2]]"
"I've been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food I've ever had (except my mom's, of course).","[[16, 17]]"
They didn't even let me finish my glass of wine before offering another.,"[[7, 8, 9]]"
"When asked, we had to ask more detailed questions to know what the specials were.",[[13]]
This is a consistently excellent place to dine for lunch or dinner .,"[[7], [9], [11]]"
"The atmosphere was pleasant, the service was very pleasant and the desert was good.","[[1], [5], [11]]"
"After having a lot of fun at the bar , we sat down at a table and had dinner .","[[8], [15], [18]]"
"fabulous service , fantastic food , and a fresh atmosphere and atmosphere .","[[1], [4], [9], [11]]"
Try the lasagna snack .,"[[2, 3]]"
I liked the beer selection !,"[[3, 4]]"
"A good meal , a good menu , good service and a low-key atmosphere .","[[2], [6], [9], [13]]"
You come here for a romantic dinner but not for a culinary experience.,"[[6], [11]]"
I grew up eating doses and I haven't found a place in New York yet to satisfy my taste buds.,[[4]]
The wine list selection is good and the glass wine was generously filled to the top.,"[[1, 2, 3], [7]]"
"With the variety on the menu , like here often and I never get bored .",[[5]]
"The menu 's very limited , I think we 've got four or five tickets .","[[1], [14]]"
The menu is limited but almost all dishes are excellent.,"[[1], [7]]"
They 're not too crazy about their sake martini .,"[[7, 8]]"
"Big bagels, backs and a good place to hang out.","[[1], [2]]"
"The service varies from day to day... sometimes they're very nice, and sometimes they're not.",[[1]]
One thing I like about this place is that I never felt rushed or pressured to give up my incoming guest table.,[[21]]
"Unfortunately, the food is excellent, but everything else in this restaurant is food.",[[2]]
We always have a delicious meal and we always get satisfied.,[[5]]
"Soak the ingredients in with your sticks, spin them around, and eat.","[[2], [6]]"
First he came to enjoy his garden terrace .,"[[6, 7]]"
The pizza was pretty good and huge.,[[1]]
"The cuisine I picked up is authentic Taiwanese, although it's very different from what I've been used to in Taipei.",[[1]]
I almost hesitated to write a review because the atmosphere was so good and I wouldn't want it to get too crowded.,[[9]]
They 're often busy on weekends but they 're efficient and precise at their service .,"[[3], [14]]"
All my coworkers were surprised at how small the dish was.,[[9]]
"The atmosphere is unprecedented, the service is unparalleled and the food is magnificent.","[[1], [5], [10]]"
"We ordered the special brass, on the grill, which was so full of bone, it was hard to eat.","[[6, 4]]"
The service staff is friendly and the food has improved every time!,"[[1, 2], [7]]"
"It may be a little crowded on weekends, but the atmosphere is good and it's the best French food you'll find in the area.","[[5], [10], [17, 18]]"
Right on the I in Brooklyn this is a cozy and nice place with good pizza .,"[[12], [15]]"
Pere le Pinard has a $15 pre-theater menu that's exceptional.,"[[6, 7]]"
I also ordered the delivery and the restaurant forgot half the order .,"[[4], [11]]"
Our server checked us maybe twice during the whole meal .,"[[1], [9]]"
The strong smells coming from my left and right affected my taste buds negatively.,[[2]]
We had the lobster sandwich and it was fantastic.,"[[3, 4]]"
"If we were late, I could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",[[28]]
"Although spider rolls may seem like a challenge to eat, with a soft shell crab hanging from the roll, they're worth the price you pay for them.","[[1, 2], [13, 14], [22]]"
Fried horns are good and still rare to find in New York.,"[[0, 0, 1]]"
"I tried to make reservations, but the hostess didn't have my name on both occasions.","[[4], [7]]"
I also recommend rice dishes or the different congee varieties (rice drops).,"[[3, 4], [8, 10, 11]]"
Your tuna snack is for dying.,"[[1, 2, 2]]"
"an oasis of refinement: food , though somewhat uneven , often reaches the pinnacles of new American cuisine - the chef 's passion (and precise execution of the cuisine) is most evident in fish dishes and soups .","[[4], [17], [20], [28], [33, 34], [36]]"
"If you like wine and cheese and delicious French food, you'll love the artisanal.","[[3], [5], [9]]"
I love Indian food and consider myself an expert in it.,"[[2, 3]]"
Some baby pizzas get their wish.,"[[1, 2]]"
"In general, an oh already even though there's a wait is worth it.",[[9]]
The lava cake dessert was amazing and I recommend it.,"[[1, 2, 3]]"
That's what baby pizzas hope to be when they grow up.,"[[2, 3]]"
"From the terrible service to the unpleasant food, not to mention the managers who didn't settle down, the experience overall was horrible.","[[3], [7], [12]]"
"Lahore is a great place to spend the night when you need some really tasty food at low cost, you're probably having trouble finishing the amount of food you get for four dollars.","[[15], [27]]"
