sentences,labels
But the staff is so terrible to us.,[[2]]
"In fairness, the only thing that can save us is food, which is above average.",[[10]]
"The food is very good, with a very capable kitchen, and you can proudly come up with anything you want to eat, and you can eat it in a very good way.","[[1], [9], [25]]"
"Not only is the food great, but small ""offer"" is also great.","[[4], [8]]"
Our favorite dishes are the one for the young and the other for the young (often the waiters are friendly and split the dish in half so you can taste both kinds of meat).,"[[6, 9], [17], [2], [31]]"
"The cake has a distinctive taste and a good texture, both but not all.",[[1]]
"However, the food itself is good.",[[2]]
"They didn't eat Mayonnaise, they forgot our toast, they missed the ingredients (that is, the cheese in the cake), the temperature was below the heat, the bacon was too hot, and they were not able to eat the food.","[[3], [7], [11], [15], [18], [26], [38]]"
"It took us half an hour to get the check, which is perfect, because we could sit down and drink and chat!","[[9], [17]]"
The design and atmosphere are just as good.,"[[1], [3]]"
He has been to Thailand and is very knowledgeable about food.,[[10]]
"If you like thin-skinned pizza, that's the best pizza.","[[8], [3, 3, 4]]"
"All the money is for interior decoration, no money for the cook.","[[5, 6], [11]]"
"I asked for oil, no ice.",[[3]]
"No one can make you go through all this, eat pumpkins, eat meat and seafood.","[[10], [11, 13, 14]]"
I recommend you eat family food because you'll want to try other dishes.,"[[3, 4, 5], [12]]"
"The best part is the warm atmosphere, the host is very friendly and the service is quick.","[[6], [8], [14]]"
"I'm not sure if this is a good idea, but it's a bit rough in terms of delivery.",[[17]]
"From incredible food, to warm atmosphere, to friendly service, this downtown community is a place that will not miss a beat.","[[2], [5], [8]]"
"The price of food is reasonable, and contributes to an overwhelming night!","[[3], [1]]"
This small place has lovely interior decoration and affordable urban prices.,"[[5, 6], [10]]"
Two words: free wine.,[[3]]
"The price is reasonable, even though the service is poor.","[[1], [7]]"
You are also very good in numbers and you will be satisfied.,[[6]]
I met him on the second floor two days ago when I was in Los Angeles with two friends who were serious about sushi.,"[[23], [23]]"
Fried rice is great here.,"[[0, 1]]"
"The food is also three types: delicious fish, cake, salad, delicious dishes, and a good meal.","[[11], [8, 6], [9, 6], [15, 11]]"
It is a perfect place to eat a good Indian dish.,"[[9, 10]]"
"It's cool, quick service, and polite.",[[3]]
"Finally, you have a soft juice and bread left, and you can come out of the cup.","[[5, 6, 5]]"
I just wonder how you can eat such a delicious meal for so little money.,"[[10], [14]]"
"The food is good, but don't come here hungry.",[[1]]
The wine list is good.,"[[1, 2]]"
"I've been to many Thai restaurants in Manhattan before, and Tunes is the best Thai food yet (except for me, of course).","[[14, 15]]"
They won't even let me finish a glass of wine.,"[[7, 8, 9]]"
This is a very good place to have lunch or dinner.,"[[7], [8], [10]]"
The service is very pleasant and the desert is very good.,"[[7], [1], [7]]"
"After having a good time at the bar, we sat down to eat.","[[7], [7], [12]]"
"The hotel offers excellent service, great food, and a cool atmosphere and environment.","[[4], [6], [10], [12]]"
Try Lasagna.,[[1]]
