sentences,labels
"According to previous posts, this was a good place, but it's not enough now.",[[8]]
"The four of us arrived at noon, and the place was empty, and the staff was like we were forcing them, they were very rude.",[[14]]
"The food is bad, sweet or too much, and some of it is small.",[[1]]
I'm not here.,[[2]]
"I ate a lot of food in Seoul, and the food was always not, and it was embarrassing.",[[10]]
Sol is the best restaurant on Smith Street and Brooklyn.,[[0]]
The list of wines is interesting and has a lot of good value.,"[[3, 1], [3, 1]]"
I was very disappointed with this restaurant.,[[6]]
"Eve asked a driver for a lotus-leaf packed rice, and she answered for rice, and then left.","[[3, 3]]"
"The food is good, nothing good.",[[1]]
"The food is dry, the pork is greasy than usual, and the meat is very sweet.","[[0, 1], [5]]"
We will never go back to this place.,[[7]]
"The service is great, the fish are in a sensational, they come, and the price is unbeatable!!!","[[1], [4]]"
I'm always going to the Shaal on Smith Street every time I'm in New York.,"[[4, 5]]"
"The dining was always perfect, the service was excellent, the decor was cool and low-key.","[[6], [10]]"
I ate a special milk when I last visited and it was incredible.,"[[1, 4, 3]]"
"The food is very simple... Thai polymer is too sweet, every meal is too sweet.","[[1], [5, 5, 6]]"
"I like the roasted meat, and I like the roasted meat.","[[3, 10, 8, 4, 10]]"
"I've never eaten Edamame before, but I think it's innovative and delicious (I could use more salt).","[[3, 2], [3, 2]]"
"The decorations are night time... but they really need to clean the ceiling ventilation... it's pretty uncomfortable, and it's really nice.","[[1], [13]]"
"They have a large list of fragrances, but we're looking for purple fog, and we're looking for a new one.",[[4]]
"The fishcake is very good, and the fishcake is great, and the ingredients are great!","[[1, 1], [7, 7]]"
"We're about 9:30 on Friday, and it's already over, so the service is great!",[[11]]
We like pink horses.,"[[2, 3]]"
The perfect place,[[2]]
The food is great.,[[1]]
The atmosphere is comfortable and stylish.,[[0]]
"Don't look at this place at first glance, you have to try to believe it, a home away from home,",[[4]]
The food is good.,[[1]]
But this is the service that makes my mouth taste bad.,[[4]]
"I have a policy that includes not being intimidated by waiters, which means making me feel uncomfortable asking for water or checks.",[[10]]
This restaurant is definitely the best Japanese restaurant in New York.,[[1]]
The food is good.,[[1]]
The service is the best.,[[1]]
"I prefer the sea of a sushi restaurant, which is sushi paradise.",[[3]]
The soup seems fresh and proportionate enough.,"[[1], [1]]"
The quota for the fish was good and they didn't try to pack it.,"[[4, 1]]"
"We got the advantage of a half-price sushi deal on Saturday, so it was worth it.","[[6, 6, 7, 8], [6, 6, 7, 8]]"
The food is well prepared and the service is impeccable.,"[[1], [7]]"
"The price-fixed menu is for every penny, and you get more (quantity and quality).","[[1, 1, 2], [1, 1, 2], [1, 1, 2]]"
"The price is $6 and there is plenty of good food, all fresh and always greasy.","[[10], [10], [10]]"
"I'm not a vegetarian, but almost all the dishes are great.",[[8]]
"The food here is quite good, but as long as you like to wait.",[[1]]
"The changes in services are day by day, sometimes very good, sometimes not.",[[3]]
The kitchen is almost always slow.,[[1]]
"In addition, please specify whether you like your food to taste.",[[8]]
"The environment is good and there is a conversation, so a lunch break may be best.",[[1]]
"If you've ever been to the riverfront of Wyhacken, you know what a great view the Graphic Hall is.",[[14]]
"Join that great service and good food, at a reasonable price, and you'll have a great night to start yourself.","[[3], [6], [6]]"
"The rock cake dessert is incredible, I pushed it.","[[1, 2, 3]]"
"Once you enter Cosette, you will miraculously enter a small hotel in Paris.",[[3]]
"This small restaurant is the most comfortable, with a Parisian style.",[[2]]
"The average food is above average, but the prices are not very impressive.",[[2]]
"In any case, choose the environment and consider Food ust as a travel partner!",[[8]]
"The pizza is cold, the cheese is not even completely melted!","[[1], [5]]"
Pizza is too expensive and wet.,"[[0], [0]]"
"They used refined ingredients, but even refined ingredients would not make a good pizza unless someone knew how to make the leather properly.","[[3], [13], [21]]"
I think I had the best meal of my life in Minno.,[[6]]
"The seafood is amazing, the wine list is good, and the changing M menu offers some surprises.","[[1], [5, 6], [13]]"
"The combination of super fresh ingredients in the food is unusual, but delicious.",[[5]]
"The best pastry I ever ate, and it was great, not ridiculous.","[[2], [7]]"
"My wife ate them, they were big and they liked them.","[[2], [2]]"
"The label is ""featured dining"" and even ""servant"" is Japanese.","[[1], [4], [4]]"
